client_id,current_age,retirement_age,birth_year,birth_month,gender,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,age_group,income_group,credit_score_group,debt_to_income_ratio
825,53,66,1966,11,Female,34.15,-117.76,29278,59696,127613,787,5,46-55,Upper Middle,Very Good,2.138
1746,53,68,1966,12,Female,40.76,-73.74,37891,77254,191349,701,5,46-55,High Income,Good,2.477
1718,81,67,1938,11,Female,34.02,-117.89,22681,33483,196,698,5,65+,Lower Middle,Good,0.006
708,63,63,1957,1,Female,40.71,-73.99,163145,249925,202328,722,4,56-65,High Income,Good,0.81
1164,43,70,1976,9,Male,37.76,-122.44,53797,109687,183855,675,1,36-45,High Income,Good,1.676
68,42,70,1977,10,Male,41.55,-90.6,20599,41997,0,704,3,36-45,Lower Middle,Good,0.0
1075,36,67,1983,12,Female,38.22,-85.74,25258,51500,102286,672,3,36-45,Upper Middle,Good,1.986
1711,26,67,1993,12,Male,45.51,-122.64,26790,54623,114711,728,1,26-35,Upper Middle,Good,2.1
1116,81,66,1938,7,Female,40.32,-75.32,26273,42509,2895,755,5,65+,Lower Middle,Very Good,0.068
1752,34,60,1986,1,Female,29.97,-92.12,18730,38190,81262,810,1,26-35,Lower Middle,Excellent,2.128
192,27,66,1992,6,Male,38.65,-121.25,27548,56164,15224,761,2,26-35,Upper Middle,Very Good,0.271
640,29,63,1990,9,Female,40.42,-104.74,22427,45727,94016,629,1,26-35,Upper Middle,Fair,2.056
1679,18,67,2002,1,Female,41.76,-71.48,33914,69149,89214,776,1,18-25,High Income,Very Good,1.29
1094,34,62,1985,10,Male,44.75,-85.6,20325,41442,78833,712,3,26-35,Lower Middle,Good,1.902
1590,48,62,1971,5,Female,29.45,-98.5,10059,20513,32509,599,1,46-55,Low Income,Fair,1.585
1660,41,68,1978,4,Female,36.73,-102.51,11342,23123,5079,723,6,36-45,Low Income,Good,0.22
1747,54,71,1966,1,Male,32.15,-94.79,17898,36497,38333,719,6,46-55,Lower Middle,Good,1.05
153,76,71,1943,8,Female,35.29,-111.32,21950,27484,16803,660,4,65+,Low Income,Fair,0.611
429,22,68,1997,11,Male,35.19,-80.83,26481,53995,89056,683,3,18-25,Upper Middle,Good,1.649
511,66,68,1953,10,Male,32.21,-110.88,17460,35602,55369,661,5,65+,Lower Middle,Fair,1.555
309,28,57,1991,8,Male,32.07,-82.91,12321,25122,43205,819,3,26-35,Low Income,Excellent,1.72
777,18,65,2002,1,Male,37.37,-122.21,106305,216740,0,700,2,18-25,High Income,Good,0.0
1946,76,66,1943,6,Male,41.47,-81.67,19524,41109,21486,698,2,65+,Lower Middle,Good,0.523
1674,70,64,1949,4,Male,35.49,-90.35,14172,26858,11245,712,2,65+,Low Income,Good,0.419
482,45,65,1975,1,Male,42.39,-122.93,17131,34929,63849,714,1,36-45,Lower Middle,Good,1.828
877,36,63,1983,8,Female,33.44,-111.85,16829,34317,61826,610,3,36-45,Lower Middle,Fair,1.802
128,40,66,1979,4,Female,29.76,-95.38,15389,31377,59615,722,2,36-45,Lower Middle,Good,1.9
775,37,58,1982,9,Male,34.17,-118.46,21402,43638,104052,627,1,36-45,Lower Middle,Fair,2.384
1536,41,67,1978,11,Male,36.15,-85.5,15955,32531,38260,766,2,36-45,Lower Middle,Very Good,1.176
140,37,72,1983,2,Female,36.28,-86.83,20657,42120,72801,739,4,36-45,Lower Middle,Good,1.728
1884,18,64,2001,5,Male,39.98,-82.98,28092,57281,89114,850,1,18-25,Upper Middle,Excellent,1.556
1874,49,66,1970,9,Male,25.77,-80.2,18828,38390,87923,783,4,46-55,Lower Middle,Very Good,2.29
